transaction_date,transaction_time,payment_id,payment_status,item_barcode,item_name,item_price,item_quantity,item_subtotal,item_gst_percent,item_hsn_code,transaction_total
2025-11-29,15:58:47,pay_RlWU02XeNObbxA,captured,123,Balaji Waffers Masala Masti,10.00,1,10.00,12.0,21069099,50.00
2025-11-29,15:58:47,pay_RlWU02XeNObbxA,captured,456,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,50.00
2025-11-29,16:02:06,pay_RlWXV2f4REfF5A,captured,123,Balaji Waffers Masala Masti,10.00,1,10.00,12.0,21069099,50.00
2025-11-29,16:02:06,pay_RlWXV2f4REfF5A,captured,456,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,50.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,256.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,1219056,Real Bites Sev Mamra,5.00,1,5.00,5.0,21069010,256.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,5056561803319,Balaji Waffers Masala Masti,10.00,1,10.00,12.0,21069099,256.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,90223424955,Oreo,15.00,1,15.00,18.0,19053100,256.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,3006551,Maniarrs Khakhara,66.00,1,66.00,5.0,19059040,256.00
2025-11-29,22:13:52,pay_RlcsEclGD2VK2M,captured,1731724465,Britannia Choco Star Cookie,120.00,1,120.00,18.0,19053100,256.00
2025-12-01,21:52:11,pay_RmPZZNtoLTrCbY,captured,14810,Balaji Waffers Big Pack,40.00,2,80.00,12.0,21069099,286.00
2025-12-01,21:52:11,pay_RmPZZNtoLTrCbY,captured,3006551,Maniarrs Khakhara,66.00,1,66.00,5.0,19059040,286.00
2025-12-01,21:52:11,pay_RmPZZNtoLTrCbY,captured,90223424955,Oreo,15.00,1,15.00,18.0,19053100,286.00
2025-12-01,21:52:11,pay_RmPZZNtoLTrCbY,captured,1731724465,Britannia Choco Star Cookie,120.00,1,120.00,18.0,19053100,286.00
2025-12-01,21:52:11,pay_RmPZZNtoLTrCbY,captured,1219056,Real Bites Sev Mamra,5.00,1,5.00,5.0,21069010,286.00
2025-12-02,21:40:04,pay_Rmnttjl8z23tab,captured,14810,Balaji Waffers Big Pack,40.00,2,80.00,12.0,21069099,80.00
2025-12-02,21:44:06,pay_RmnyBTEDHUTF8C,captured,14810,Balaji Waffers Big Pack,40.00,1,40.00,12.0,21069099,40.00
